,Time,Timestamp,DC Voltage PV1(V),AC Output Total Power (Active)(W),Daily Generation (Active)(kWh),Wind Speed ( MPH ),Wind Average ( MPH )
2021-10-11 21:30:00,2021-10-11 21:31:46,2021-10-11 21:30:00,210.7,205.43,2.6,20,16
2021-10-11 21:35:00,2021-10-11 21:37:29,2021-10-11 21:35:00,209,203.77,2.7,25,20
2021-10-11 21:45:00,2021-10-11 21:42:44,2021-10-11 21:45:00,290.1,707.11,2.7,25,21
2021-10-11 21:50:00,2021-10-11 21:48:06,2021-10-11 21:50:00,218.8,255.99,2.7,32,22
2021-10-11 21:55:00,2021-10-11 21:53:31,2021-10-11 21:55:00,192,131.03,2.8,27,21
2021-10-11 22:00:00,2021-10-11 21:58:56,2021-10-11 22:00:00,251.3,392.02,2.8,24,21
2021-10-11 22:05:00,2021-10-11 22:04:19,2021-10-11 22:05:00,227.2,265.82,2.8,25,20
2021-10-11 22:10:00,2021-10-11 22:09:42,2021-10-11 22:10:00,235.6,344.56,2.9,22,18
2021-10-11 22:15:00,2021-10-11 22:15:05,2021-10-11 22:15:00,185.5,90.43,2.9,20,17
2021-10-11 22:20:00,2021-10-11 22:20:30,2021-10-11 22:20:00,228.7,267.57,2.9,22,17
2021-10-11 22:25:00,2021-10-11 22:25:54,2021-10-11 22:25:00,220.5,257.98,2.9,20,16
2021-10-11 22:30:00,2021-10-11 22:31:16,2021-10-11 22:30:00,183.8,35.84,2.9,17,14
2021-10-11 22:35:00,2021-10-11 22:36:39,2021-10-11 22:35:00,193.8,151.16,2.9,24,15
2021-10-11 22:40:00,2021-10-11 22:42:02,2021-10-11 22:40:00,249.7,389.53,2.9,20,17
2021-10-11 22:45:00,2021-10-11 22:47:27,2021-10-11 22:45:00,184.2,35.91,3,17,13
2021-10-11 22:55:00,2021-10-11 22:52:50,2021-10-11 22:55:00,181.5,0,3,16,13
2021-10-11 23:00:00,2021-10-11 22:58:13,2021-10-11 23:00:00,188.6,128.71,3,16,12
2021-10-11 23:05:00,2021-10-11 23:03:36,2021-10-11 23:05:00,185.2,0,3,20,14
2021-10-11 23:10:00,2021-10-11 23:08:59,2021-10-11 23:10:00,150.6,0,3,19,14
2021-10-11 23:15:00,2021-10-11 23:14:22,2021-10-11 23:15:00,188.6,128.71,3,14,10
2021-10-11 23:20:00,2021-10-11 23:19:45,2021-10-11 23:20:00,180.8,0,3,9,8
2021-10-11 23:25:00,2021-10-11 23:25:07,2021-10-11 23:25:00,152,0,3,12,10
2021-10-11 23:30:00,2021-10-11 23:30:29,2021-10-11 23:30:00,156.5,0,3,12,8
2021-10-11 23:35:00,2021-10-11 23:35:52,2021-10-11 23:35:00,113.5,0,3,14,11
2021-10-11 23:40:00,2021-10-11 23:41:17,2021-10-11 23:40:00,129.6,0,3,20,15
2021-10-11 23:45:00,2021-10-11 23:46:41,2021-10-11 23:45:00,182.2,0,3,30,24
2021-10-11 23:50:00,2021-10-11 23:52:05,2021-10-11 23:50:00,246.2,360.06,3,27,20
2021-10-11 23:55:00,2021-10-11 23:57:26,2021-10-11 23:55:00,191.7,130.83,3,27,20
2021-10-12 00:05:00,2021-10-12 00:02:50,2021-10-12 00:05:00,208.6,203.38,0.1,30,24
2021-10-12 00:10:00,2021-10-12 00:08:13,2021-10-12 00:10:00,270.1,526.69,0.1,24,19
2021-10-12 00:15:00,2021-10-12 00:13:36,2021-10-12 00:15:00,191.8,130.9,0.1,22,16
2021-10-12 00:20:00,2021-10-12 00:18:59,2021-10-12 00:20:00,285.1,639.33,0.1,28,20
2021-10-12 00:25:00,2021-10-12 00:24:22,2021-10-12 00:25:00,177.5,0,0.1,24,17
2021-10-12 00:30:00,2021-10-12 00:29:47,2021-10-12 00:30:00,188.8,128.85,0.1,20,15
2021-10-12 00:35:00,2021-10-12 00:35:10,2021-10-12 00:35:00,199.5,194.51,0.1,19,13
2021-10-12 00:40:00,2021-10-12 00:40:33,2021-10-12 00:40:00,179,0,0.2,20,15
2021-10-12 00:45:00,2021-10-12 00:45:56,2021-10-12 00:45:00,255.6,423.65,0.2,22,16
2021-10-12 00:50:00,2021-10-12 00:51:18,2021-10-12 00:50:00,206.7,201.53,0.2,20,14
2021-10-12 00:55:00,2021-10-12 00:56:41,2021-10-12 00:55:00,188,91.64,0.2,17,13
