,Time,Timestamp,DC Voltage PV1(V),AC Output Total Power (Active)(W),Daily Generation (Active)(kWh),Wind Speed ( MPH ),Wind Average ( MPH ),Week_label,Power_round,Voltage_round,Curve_Iteration
11/23/2021 17:25,11/23/2021 17:24,11/23/2021 17:25,183.7,107.46,3.1,33,25,6,110,180,2
11/23/2021 17:30,11/23/2021 17:29,11/23/2021 17:30,189.2,110.68,3.1,33,24,6,110,190,2
11/23/2021 17:35,11/23/2021 17:35,11/23/2021 17:35,208.3,243.71,3.1,30,27,6,240,210,2
11/23/2021 17:40,11/23/2021 17:40,11/23/2021 17:40,182.8,35.64,3.1,32,24,6,40,180,2
11/23/2021 17:45,11/23/2021 17:46,11/23/2021 17:45,185.6,90.47,3.1,35,27,6,90,190,2
11/23/2021 17:50,11/23/2021 17:51,11/23/2021 17:50,187.3,91.3,3.2,33,26,6,90,190,2
11/23/2021 17:55,11/23/2021 17:56,11/23/2021 17:55,193.8,188.95,3.2,35,26,6,190,190,2
11/23/2021 18:00,11/23/2021 18:02,11/23/2021 18:00,184.1,35.89,3.2,32,23,6,40,180,2
11/23/2021 18:05,11/23/2021 18:07,11/23/2021 18:05,184.6,35.99,3.2,33,24,6,40,180,2
11/23/2021 18:15,11/23/2021 18:12,11/23/2021 18:15,185.2,90.28,3.3,32,25,6,90,190,2
11/23/2021 18:20,11/23/2021 18:18,11/23/2021 18:20,189.5,129.33,3.3,30,26,6,130,190,2
11/23/2021 18:25,11/23/2021 18:23,11/23/2021 18:25,243.3,474.43,3.3,33,23,6,470,240,2
11/23/2021 18:30,11/23/2021 18:28,11/23/2021 18:30,257.3,551.9,3.3,32,25,6,550,260,2
11/23/2021 18:35,11/23/2021 18:34,11/23/2021 18:35,197.7,192.75,3.3,28,22,6,190,200,2
11/23/2021 18:40,11/23/2021 18:39,11/23/2021 18:40,166.1,0,3.4,33,27,6,0,170,2
11/23/2021 18:45,11/23/2021 18:45,11/23/2021 18:45,223.1,261.02,3.4,35,25,6,260,220,2
11/23/2021 18:50,11/23/2021 18:50,11/23/2021 18:50,260.6,584.39,3.4,33,24,6,580,260,2
11/23/2021 18:55,11/23/2021 18:55,11/23/2021 18:55,182.8,0,3.4,33,26,6,0,180,2
11/23/2021 19:00,11/23/2021 19:01,11/23/2021 19:00,232.5,340.03,3.4,40,28,6,340,230,2
11/23/2021 19:05,11/23/2021 19:06,11/23/2021 19:05,194.8,132.95,3.5,40,30,6,130,190,2
11/23/2021 19:10,11/23/2021 19:11,11/23/2021 19:10,189,128.99,3.5,33,27,6,130,190,2
11/23/2021 19:15,11/23/2021 19:17,11/23/2021 19:15,193,131.72,3.5,38,29,6,130,190,2
11/23/2021 19:25,11/23/2021 19:22,11/23/2021 19:25,298,1075.03,3.6,36,29,6,1080,300,2
11/23/2021 19:30,11/23/2021 19:27,11/23/2021 19:30,231,337.83,3.6,38,29,6,340,230,2
11/23/2021 19:35,11/23/2021 19:33,11/23/2021 19:35,199,194.02,3.6,41,32,6,190,200,2
11/23/2021 19:40,11/23/2021 19:38,11/23/2021 19:40,287.1,839.76,3.7,43,31,6,840,290,2
11/23/2021 19:45,11/23/2021 19:43,11/23/2021 19:45,236.2,391.5,3.7,49,37,6,390,240,2
11/23/2021 19:50,11/23/2021 19:49,11/23/2021 19:50,235.8,367.84,3.8,54,43,6,370,240,2
11/23/2021 19:55,11/23/2021 19:54,11/23/2021 19:55,311.8,1368.02,3.9,53,44,6,1370,310,2
11/23/2021 20:00,11/23/2021 20:00,11/23/2021 20:00,303.7,1184.42,4,49,40,6,1180,300,2
11/23/2021 20:05,11/23/2021 20:05,11/23/2021 20:05,246,479.7,4,48,37,6,480,250,2
11/23/2021 20:10,11/23/2021 20:10,11/23/2021 20:10,247.1,481.84,4.1,49,38,6,480,250,2
11/23/2021 20:15,11/23/2021 20:16,11/23/2021 20:15,290.3,1047.25,4.2,51,38,6,1050,290,2
11/23/2021 20:20,11/23/2021 20:21,11/23/2021 20:20,284.2,886.7,4.2,57,39,6,890,280,2
11/23/2021 20:25,11/23/2021 20:26,11/23/2021 20:25,215.5,252.13,4.3,44,38,6,250,220,2
11/23/2021 20:30,11/23/2021 20:32,11/23/2021 20:30,274.7,723.14,4.4,51,36,6,720,270,2
11/23/2021 20:40,11/23/2021 20:37,11/23/2021 20:40,229.3,335.35,4.5,49,39,6,340,230,2
11/23/2021 20:45,11/23/2021 20:42,11/23/2021 20:45,228.7,334.47,4.6,36,33,6,330,230,2
11/23/2021 20:50,11/23/2021 20:48,11/23/2021 20:50,299.2,1079.36,4.7,48,39,6,1080,300,2
11/23/2021 20:55,11/23/2021 20:53,11/23/2021 20:55,221.2,258.8,4.7,48,40,6,260,220,2
11/23/2021 21:00,11/23/2021 20:59,11/23/2021 21:00,296.7,1012.48,4.8,49,37,6,1010,300,2
11/23/2021 21:05,11/23/2021 21:04,11/23/2021 21:05,346.3,1924.56,4.9,48,40,6,1920,350,2
11/23/2021 21:10,11/23/2021 21:09,11/23/2021 21:10,255.8,548.69,5,43,35,6,550,260,2
11/23/2021 21:15,11/23/2021 21:15,11/23/2021 21:15,286.7,894.5,5.1,51,38,6,890,290,2
11/23/2021 21:20,11/23/2021 21:20,11/23/2021 21:20,256.6,550.4,5.2,40,33,6,550,260,2
11/23/2021 21:25,11/23/2021 21:25,11/23/2021 21:25,294.8,1006,5.2,43,36,6,1010,290,2
11/23/2021 21:30,11/23/2021 21:31,11/23/2021 21:30,317.5,1393.03,5.3,40,32,6,1390,320,2
11/23/2021 21:35,11/23/2021 21:36,11/23/2021 21:35,208.8,244.29,5.4,43,33,6,240,210,2
